,T,C,E,F
154,Los únicos interesados en cambiar el...,"<p>Los únicos interesados en cambiar el mundo son los pesimistas, porque los optimistas están encantados con lo que hay.</p>",Citas,2025-06-21 07:15
153,La realidad es de naturaleza mítica...,"<p>La realidad es de naturaleza mítica: tómala muy en serio, porque puede atraparte.</p>",Apotegmas,2025-06-20 19:17
152,No dejes que nadie te diga cómo pensar,"<p>No dejes que nadie te diga cómo pensar; como ahora, que te estoy diciendo cómo pensar.</p>",Reflexiones,2025-06-20 07:33
151,Desamorada,"<p>Casi calcinada por el sol de mediodía, la vampiresa tuvo unas fracciones de segundo en las que recordar todos los sacrificios de fetos que había inculcado con el fin de satisfacer de sangre a su dios; pero no supo cómo arrepentirse, porque nunca nadie la había amado.</p>",Cuentos,2025-06-19 13:14
150,El mayor castigo para quienes no...,<p>El mayor castigo para quienes no se interesan por la política es que serán gobernados por personas que sí se interesan. – Alnold Toynbee</p>,Citas,2025-06-19 10:01
149,Preparar un discurso de diez minutos me...,"<p>Preparar un discurso de diez minutos me cuesta un par de semanas; un discurso de una hora, una semana, y un discurso de dos horas siempre puedo improvisarlo. – Harold Wilson</p>",Citas,2025-06-19 09:57
148,Ningún hombre es tan tonto para desear...,"<p>Ningún hombre es tan tonto para desear la guerra y no la paz; pues en la paz, los hijos llevan a sus padres a la tumba, y en la guerra son los padres quienes llevan a sus hijos a la tumba. – Herodoto</p>",Citas,2025-06-19 09:53
147,Cuando un perro ladra a una sombra...,"<p>Cuando un perro ladra a una sombra, diez mil perros hacen de ella una realidad. – Proverbio chino</p>",Citas,2025-06-19 09:50
146,Un pedante es un estúpido adulterado...,<p>Un pedante es un estúpido adulterado por el estudio. – Miguel de Unamuno</p>,Citas,2025-06-19 09:48
145,No he conocido casi nunca a un matemático...,<p>No he conocido casi nunca a un matemático que estuviera en condiciones de sacar conclusiones razonables. – Platón</p>,Citas,2025-06-19 09:45
144,Por más correcta que sea tu teología,"<p>Por más correcta que sea tu teología, nunca será Dios.</p>",Apotegmas,2025-06-18 18:14
143,Quien gobierna a un pueblo dando buen...,"<p>Quien gobierna a un pueblo dando buen ejemplo se parece a la estrella polar, que permanece inmutable mientras los otros astros dan vueltas a su alredor. – Confucio</p>",Citas,2025-06-18 09:29
142,Pocas o ninguna vez se cumple con...,<p>Pocas o ninguna vez se cumple con la ambición que no sea con daño de tercero. – Miguel de Cervantes Saavedra</p>,Citas,2025-06-18 09:25
141,Al perro que tiene dinero...,<p>Al perro que tiene dinero se le llama Señor Perro. – Proverbio árabe</p>,Citas,2025-06-18 09:22
140,Todos somos aficionados: en nuestra...,<p>Todos somos aficionados: en nuestra corta vida no tenemos tiempo para otra cosa. – Charles Chaplin</p>,Citas,2025-06-18 09:20
139,El mundo siempre ha sido un reino,"<p>Si solamente recordaras que el mundo siempre ha sido un reino y que hay quienes quieren someterlo para ofrecerlo en sacrificio a su dios, difícilmente olvidarías que la libertad es algo que se debe buscar.</p>",Reflexiones,2025-06-17 20:59
138,Sólo los tontos son...,<p>Sólo los tontos son convencidos por los inteligentes.</p>,Apotegmas,2025-06-17 20:57
